,name,reference product,location,unit
9019,"clear-cutting, secondary forest to arable land, annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",TH,kilogram
9020,"market for heat, from steam, in chemical industry","heat, from steam, in chemical industry",RoW,megajoule
9021,"treatment of wastewater from medium density board production, wastewater treatment",wastewater from medium density board production,RoW,cubic meter
9022,nutrient supply from compost,"organic phosphorus fertiliser, as P2O5",GLO,kilogram
9023,"market for transport, freight, lorry 7.5-16 metric ton, EURO1","transport, freight, lorry 7.5-16 metric ton, EURO1",ZA,ton kilometer
9024,"synthetic fuel production, from coal, high temperature Fisher-Tropsch operations","acetone, liquid",ZA,kilogram
9025,"steel production, converter, unalloyed","steel, unalloyed",RoW,kilogram
9026,"concrete production, 37MPa, for civil engineering, with cement, CEM II/B","concrete, 37MPa",CH,cubic meter
9027,zinc mine operation,lime,GLO,kilogram
9028,nutrient supply from single superphosphate,"inorganic phosphorus fertiliser, as P2O5",RoW,kilogram
9029,flax production,"flax plant, harvested",IN,kilogram
9030,"market for electricity, low voltage","electricity, low voltage",SY,kilowatt hour
9031,"market for transport, freight, sea, container ship with reefer, cooling","transport, freight, sea, container ship with reefer, cooling",GLO,ton kilometer
9032,"market for borax, anhydrous, powder","borax, anhydrous, powder",GLO,kilogram
9033,"market for land tenure, arable land, measured as carbon net primary productivity, perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",BR-MS,kilogram
9034,"electricity production, natural gas, combined cycle power plant","electricity, high voltage",BR-North-eastern grid,kilowatt hour
9035,electricity voltage transformation from high to medium voltage,"electricity, medium voltage",QA,kilowatt hour
9036,"market for concrete, normal strength","concrete, normal strength",PE,cubic meter
9037,plywood production,"wood chips, dry, measured as dry mass",RoW,kilogram
9038,"heat production, light fuel oil, at boiler 10kW, non-modulating","heat, central or small-scale, other than natural gas",Europe without Switzerland,megajoule
9039,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",MX,cubic meter
9040,cottonseed oil mill operation,"cottonseed oil, crude",RoW,kilogram
9041,"market for waste packaging glass, unsorted","waste packaging glass, unsorted",GLO,kilogram
9042,"board, softwood, raw, kiln drying to u=10%","sawnwood, board, softwood, raw, dried (u=10%)",RoW,cubic meter
9043,"market for transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO4, carbon dioxide, liquid refri(...)_2","transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO4, carbon dioxide, liquid refrigerant, cooling",GLO,ton kilometer
9044,"market for transport, freight, lorry 16-32 metric ton, EURO6","transport, freight, lorry 16-32 metric ton, EURO6",RoW,ton kilometer
9045,"heat and power co-generation, natural gas, 160kW electrical, lambda=1","electricity, low voltage",Europe without Switzerland,kilowatt hour
9046,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",NL,cubic meter
9047,"market for printed wiring board, for power supply unit, desktop computer, Pb free","printed wiring board, for power supply unit, desktop computer, Pb free",GLO,kilogram
9048,"treatment of spent nuclear fuel, conditioning",spent nuclear fuel,CH,kilogram
9049,"nutrient supply from manure, solid, cattle","organic potassium fertiliser, as K2O",GLO,kilogram
9050,"market for hexamethylene-1,6-diisoncyanate","hexamethylene-1,6-diisoncyanate",RER,kilogram
9051,"market for sawnwood, board, softwood, dried (u=10%), planed","sawnwood, board, softwood, dried (u=10%), planed",RoW,cubic meter
9052,gold production,gold,TZ,kilogram
9053,"market for electricity, low voltage","electricity, low voltage",CY,kilowatt hour
9054,"treatment of sewage sludge, 97% water, WWT[R], WW from anaerobic digestion of whey, landfarming","sewage sludge, 97% water, WWT[R], WW from anaerobic digestion of whey",RoW,kilogram
9055,thermo-mechanical pulp production,thermo-mechanical pulp,RER,kilogram
9056,"market for cement, unspecified","cement, unspecified",ZA,kilogram
9057,"market for butane-1,4-diol","butane-1,4-diol",GLO,kilogram
9058,"electricity production, wind, <1MW turbine, onshore","electricity, high voltage",TW,kilowatt hour
9059,"treatment of sewage sludge, 75% water, WWT, WW from grass refinery, sanitary landfill","heat, district or industrial, other than natural gas",GLO,megajoule
9060,"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-HL,kilowatt hour
9061,"electricity, high voltage, import from GR","electricity, high voltage",IT,kilowatt hour
9062,"electricity production, wind, >3MW turbine, onshore","electricity, high voltage",US-SERC,kilowatt hour
9063,"treatment of sulfidic tailings, from copper mine operation, tailings impoundment","sulfidic tailings, from copper mine operation",RoW,kilogram
9064,methane sulfonic acid production,methane sulfonic acid,RoW,kilogram
9065,"treatment of blast furnace gas, in power plant","electricity, high voltage",RU,kilowatt hour
9066,"power distribution unit production, for electric passenger car","power distribution unit, for electric passenger car",GLO,kilogram
9067,"electricity production, deep geothermal","electricity, high voltage",ID,kilowatt hour
9068,"market for transport, passenger aircraft, long haul","transport, passenger aircraft, long haul",GLO,person kilometer
9069,"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, measured as solid wood under bark",DE,cubic meter
9070,treatment of biowaste by anaerobic digestion,biogas,CH,cubic meter
9071,"stone wool production, packed","stone wool, packed",RoW,kilogram
9072,"electricity, high voltage, import from HN","electricity, high voltage",GT,kilowatt hour
9073,"electricity production, hard coal","electricity, high voltage",IT,kilowatt hour
9074,"cast iron turning, primarily roughing, conventional","cast iron removed by turning, primarily roughing, conventional",RER,kilogram
9075,"petroleum slack wax production, petroleum refinery operation",petroleum slack wax,CO,kilogram
9076,"market for shavings, hardwood, measured as dry mass","shavings, hardwood, measured as dry mass",CH,kilogram
9077,market for waste paperboard,waste paperboard,LV,kilogram
9078,"electricity production, hard coal","electricity, high voltage",CN-JX,kilowatt hour
9079,"sodium chloride production, brine solution","sodium chloride, brine solution",RER,kilogram
9080,liquid manure storage and processing facility construction,liquid manure storage and processing facility,CH,cubic meter
9081,"copper scrap, sorted, pressed, Recycled Content cut-off","copper scrap, sorted, pressed",GLO,kilogram
9082,"market for transistor, wired, small size, through-hole mounting","transistor, wired, small size, through-hole mounting",GLO,kilogram
9083,acetaldehyde oxidation,acetic anhydride,RoW,kilogram
9084,"market for iron scrap, sorted, pressed","iron scrap, sorted, pressed",RER,kilogram
9085,"electricity, from municipal waste incineration to generic market for electricity, medium voltage","electricity, medium voltage",RU,kilowatt hour
9086,sodium hydrogen sulfite production,sodium hydrogen sulfite,RoW,kilogram
9087,"electricity, high voltage, import from DE","electricity, high voltage",FR,kilowatt hour
9088,"market for alfalfa-grass mixture, Swiss integrated production","alfalfa-grass mixture, Swiss integrated production",CH,kilogram
9089,"aluminium production, primary, liquid, prebake","aluminium, primary, liquid","IAI Area, South America",kilogram
9090,"market for tilapia feed, 24-28% protein","tilapia feed, 24-28% protein",GLO,kilogram
9091,"electricity, high voltage, import from CN-NECG","electricity, high voltage",CN-ECGC,kilowatt hour
9092,silicone factory construction,silicone factory,RER,unit
9093,market for plastic tunnel,plastic tunnel,GLO,square meter
9094,"market for electricity, high voltage, for internal use in coal mining","electricity, high voltage, for internal use in coal mining",GLO,kilowatt hour
9095,"polystyrene production, extruded, HFC-152a blown","polystyrene, extruded",RoW,kilogram
9096,pinto bean production,pinto bean,RoW,kilogram
9097,"impact extrusion of steel, warm, 5 strokes","impact extrusion of steel, warm, 5 strokes",RoW,kilogram
9098,"resorcinol production, benzene disulfonation",resorcinol,DE,kilogram
9099,"market for water, decarbonised","water, decarbonised",CH,kilogram
9100,"polyethylene terephthalate production, granulate, bottle grade","polyethylene terephthalate, granulate, bottle grade",RER,kilogram
9101,tungsten mine operation and beneficiation,tungsten concentrate,RoW,kilogram
9102,"electricity production, deep geothermal","electricity, high voltage",JP,kilowatt hour
9103,"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",IE,megajoule
9104,"market for industrial furnace, natural gas","industrial furnace, natural gas",GLO,unit
9105,"natural gas, burned in micro gas turbine, 100kWe","electricity, low voltage",CH,kilowatt hour
9106,"heat production, softwood chips from forest, at furnace 1000kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",CH,megajoule
9107,"treatment of bottom ash, MSWI[F]-WWT, WW, average, slag compartment","bottom ash, MSWI[F]-WWT, WW, average",CH,kilogram
9108,"sawnwood production, softwood, dried (u=10%), planed","sawnwood, softwood, dried (u=10%), planed",Europe without Switzerland,cubic meter
9109,nitrous dioxide production,nitrous dioxide,RER,kilogram
9110,"market for machine operation, diesel, < 18.64 kW, steady-state","machine operation, diesel, < 18.64 kW, steady-state",GLO,hour
9111,"electricity, high voltage, import from CN-NECG","electricity, high voltage",CN-NWG,kilowatt hour
9112,"treatment of waste polyvinylchloride, municipal incineration with fly ash extraction","heat, for reuse in municipal waste incineration only",CH,megajoule
9113,treatment of used locomotive,used locomotive,RoW,unit
9114,"clear-cutting, grassland to arable land, pasture, man made","land tenure, arable land, measured as carbon net primary productivity, pasture, man made",BR-BA,kilogram
9115,"water production, decarbonised","water, decarbonised",DE,kilogram
9116,"treatment of scrap steel, municipal incineration with fly ash extraction",scrap steel,CH,kilogram
9117,"land already in use, annual cropland to perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",BR-RO,kilogram
9118,market for dichloromethane,dichloromethane,RER,kilogram
9119,"electricity production, natural gas, conventional power plant","electricity, high voltage",IN-DN,kilowatt hour
9120,landed hake to generic market for marine fish,marine fish,GLO,kilogram
9121,"operation, computer, laptop, off mode","operation, computer, laptop, off mode",CH,hour
9122,"market for operation, computer, desktop, office use","operation, computer, desktop, office use",GLO,hour
9123,activated silica production,"sodium sulfate, anhydrite",GLO,kilogram
9124,"solar collector system installation, Cu flat plate collector, one-family house, hot water","solar collector system, Cu flat plate collector, one-family house, hot water",CH,unit
9125,"glass fibre reinforced plastic production, polyamide, injection moulded","glass fibre reinforced plastic, polyamide, injection moulded",RoW,kilogram
9126,"heat and power co-generation, biogas, gas engine","electricity, high voltage",GB,kilowatt hour
9127,"market for sodium dithionite, anhydrous","sodium dithionite, anhydrous",RoW,kilogram
9128,electricity voltage transformation from medium to low voltage,"electricity, low voltage",UZ,kilowatt hour
